 ,Basel,Basel,Basel,Basel
lat,47.75,47.75,47.75,47.75
lon,7.5,7.5,7.5,7.5
asl,363.653,363.653,363.653,363.653
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature ,Basel Relative Humidity ,Basel Wind Speed,Basel Wind Direction
20220106T1800,2.1502454,88.01276,1.0182338,44.999985
20220106T1900,1.5802454,90.95654,2.8116899,320.19443
20220106T2000,0.8702454,91.96498,1.5273507,44.999985
20220106T2100,0.3102454,92.05339,0.35999998,180
20220106T2200,-0.009754598,91.89073,1.609969,153.43495
20220106T2300,-1.1897546,92.95853,3.6179552,174.28941
20220107T0000,-1.4697546,92.86688,6.638072,167.47119
20220107T0100,-2.0597544,92.61025,5.0142193,158.9625
20220107T0200,-1.6297547,91.543396,4.896529,162.89728
20220107T0300,-0.88975465,90.93057,4.802999,167.00539
20220107T0400,-0.9597546,91.740204,5.4119864,176.18593
20220107T0500,-1.0497546,91.80061,6.4799995,180
20220107T0600,-0.89975464,91.13299,6.162207,186.70984
20220107T0700,-0.62975454,90.21425,6.5693827,189.46233
20220107T0800,-0.4597546,88.43775,7.5685663,182.72632
20220107T0900,0.080245405,85.59016,9.028754,175.42609
20220107T1000,0.84024537,85.05783,9.746631,175.76361
20220107T1100,1.8302454,83.45493,11.165805,181.84761
20220107T1200,2.0102453,83.48057,11.525623,194.47029
20220107T1300,2.0202456,86.91298,14.039999,202.61987
20220107T1400,1.6602454,93.17524,14.654254,207.8241
20220107T1500,1.6002454,97.1048,12.313894,217.87498
20220107T1600,1.7702454,96.761566,13.004922,221.63354
20220107T1700,1.9602454,95.72713,13.324863,218.41806
20220107T1800,1.7802454,97.675285,13.104198,217.18471
20220107T1900,1.9202454,98.17486,13.755579,222.8789
20220107T2000,2.1502454,95.39217,13.246826,222.7974
20220107T2100,2.5302453,93.84504,13.089354,211.50427
20220107T2200,2.8202453,93.52713,14.007655,205.90651
20220107T2300,2.9202452,90.028984,14.658676,204.67686
20220108T0000,3.2702456,86.933105,17.193533,199.57312
20220108T0100,3.4502454,84.842476,18.345877,195.94539
20220108T0200,3.3702455,87.76469,19.592731,200.43283
20220108T0300,3.2002454,92.75064,20.696087,220.06079
20220108T0400,3.3402452,93.3614,21.30093,239.53445
20220108T0500,3.6002455,94.31821,22.104116,253.92644
20220108T0600,3.5702453,91.78622,18.448023,264.40067
20220108T0700,3.2402453,90.05904,14.869351,263.04706
20220108T0800,2.7102456,88.58649,12.522619,251.56506
20220108T0900,2.6002455,87.42484,10.883676,235.7843
20220108T1000,2.6702452,87.05258,13.584932,237.99463
20220108T1100,3.0902452,80.46265,15.876775,237.0306
20220108T1200,3.7402453,76.55896,18.709612,239.98164
20220108T1300,4.4702454,71.139595,17.429354,231.70984
20220108T1400,4.8402452,69.57048,16.992609,216.38435
20220108T1500,5.0502453,69.00832,16.485485,211.6075
20220108T1600,5.0702453,68.00919,13.049689,204.44395
20220108T1700,4.9902453,68.79307,13.1041975,200.9245
20220108T1800,5.4102454,69.543655,13.661038,198.43495
20220108T1900,5.2402453,74.91126,14.458382,198.8861
20220108T2000,5.440245,79.33797,16.808569,189.86581
20220108T2100,5.5902452,81.31815,18.03237,183.43362
20220108T2200,5.630245,85.12032,18.416384,184.4846
20220108T2300,5.880245,84.66931,17.294992,182.38594
20220109T0000,5.5802455,88.627106,20.969805,191.88866
20220109T0100,5.750245,90.66939,20.833395,198.12186
20220109T0200,6.2202454,89.69488,27.80403,221.3255
20220109T0300,5.710245,90.858,26.368616,237.82878
20220109T0400,5.2002454,89.346664,23.710857,239.93143
20220109T0500,4.6002455,89.16169,22.73707,246.68228
20220109T0600,4.1602454,87.28555,23.510508,258.518
20220109T0700,4.1902456,84.75498,22.380884,258.87082
20220109T0800,4.2702456,84.27884,19.255793,249.1932
20220109T0900,4.0502453,85.28793,16.923828,240.70865
20220109T1000,4.2702456,85.43835,14.84318,230.90614
20220109T1100,4.420245,83.33408,13.830749,231.3402
20220109T1200,4.4802456,83.28247,17.373497,235.98065
20220109T1300,4.5902452,83.95871,16.267857,245.1363
20220109T1400,4.650245,84.26861,15.937878,251.56506
20220109T1500,4.5902452,83.477554,11.966953,248.83875
20220109T1600,4.0702453,87.46362,10.948973,242.59244
